experiment,accuracy,top1_accuracy,top3_accuracy,f1_score,auc_roc
orthonet/cocoop/clip,0.4444444444444444,0.4444444444444444,,0.4019396532838003,0.8863299663299664
orthonet/coop/clip,0.4722222222222222,0.4722222222222222,,0.4390538053542588,0.898821548821549
orthonet/finetune/imagenet,0.8,0.8,,0.7953068359388649,0.9787878787878788
orthonet/finetune/dinov2,0.9333333333333333,0.9333333333333333,,0.9318152775570739,0.9982154882154882
orthonet/finetune/clip,0.8777777777777778,0.8777777777777778,,0.8693544508060637,0.9936026936026936
orthonet/maple/clip,0.7388888888888889,0.7388888888888889,,0.7319068262446935,0.9545454545454545
orthonet/zero_shot,0.2388888888888889,0.2388888888888889,,0.139026621318288,0.7409932659932661
pacemakers/cocoop/clip/hierarchical/stage1,0.6444444444444445,0.6444444444444445,0.9377777777777778,0.640613440855915,0.8943031523951775
pacemakers/cocoop/clip/hierarchical/stage2,0.48,0.48,0.76,0.4703595170261837,0.9515757575757576
pacemakers/cocoop/clip,0.4311111111111111,0.4311111111111111,0.7022222222222222,0.40784089911540894,0.9455353535353535
pacemakers/coop/clip/hierarchical/stage1,0.6533333333333333,0.6533333333333333,0.9333333333333333,0.6462479864044401,0.884330919093383
pacemakers/coop/clip/hierarchical/stage2,0.4222222222222222,0.4222222222222222,0.6488888888888888,0.3886690578847442,0.9325050505050504
pacemakers/coop/clip,0.37777777777777777,0.37777777777777777,0.6977777777777778,0.36815702815702805,0.942989898989899
pacemakers/finetune/imagenet,0.8577777777777778,0.8577777777777778,0.9555555555555556,0.8447779381112714,0.9944040404040405
pacemakers/finetune/dinov2,0.8666666666666667,0.8666666666666667,0.96,0.8647807747807748,0.9962020202020202
pacemakers/finetune/clip,0.9377777777777778,0.9377777777777778,0.9733333333333334,0.9374298540965209,0.9988686868686869
pacemakers/maple/clip/hierarchical/stage1,0.88,0.88,0.9911111111111112,0.876997838411294,0.9862437793830983
pacemakers/maple/clip/hierarchical/stage2,0.7511111111111111,0.7511111111111111,0.92,0.7427080327080324,0.9913131313131313
pacemakers/maple/clip,0.6266666666666667,0.6266666666666667,0.8533333333333334,0.6251110617777285,0.9801818181818182
pacemakers/zero_shot,0.022222222222222223,0.022222222222222223,0.06222222222222222,0.006466397695987008,0.48251515151515156
